"VIRTUAL_TIME","NODE_ID","EVENT_TYPE","GLOBAL_SOURCE","LOCAL_SOURCE","LOCAL_TARGET","GLOBAL_TARGET","X_COOR","Y_COOR","RADIUS","LOST","ERROR","DETAILS"
"1805","","messages.TCMessage","9a769188-48b1-4641-a83a-f9fbd73d627f","9a769188-48b1-4641-a83a-f9fbd73d627f","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1805","","messages.TCMessage","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","","",""
"1805","","messages.TCMessage","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","","",""
"1805","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1810","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"1810","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"1805","","messages.HelloMessage",,"884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","","",""
"1805","","messages.HelloMessage",,"884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","","",""
"1805","","messages.HelloMessage",,"23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1805","","messages.HelloMessage",,"23fd6087-1cdd-4304-a4fb-902c52eae4f5","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"1805","","messages.HelloMessage",,"23fd6087-1cdd-4304-a4fb-902c52eae4f5","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"1805","","messages.TCMessage","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","","",""
"1805","","messages.TCMessage","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","","",""
"1805","","messages.HelloMessage",,"84a25183-c629-4fd0-8fdd-dfdb87265689","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1805","","messages.HelloMessage",,"84a25183-c629-4fd0-8fdd-dfdb87265689","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1805","","messages.HelloMessage",,"5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","","",""
"1805","","messages.HelloMessage",,"5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1805","","messages.HelloMessage",,"07bfe8ff-3c9f-4c3e-9828-139e91360b42","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1805","","messages.HelloMessage",,"07bfe8ff-3c9f-4c3e-9828-139e91360b42","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"1806","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_SENT","84a25183-c629-4fd0-8fdd-dfdb87265689","","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1806","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_REACH",,"","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1806","765e579f-6011-42a1-b15b-53e48a873e39","DATA_SENT","765e579f-6011-42a1-b15b-53e48a873e39","","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","0",
"1806","765e579f-6011-42a1-b15b-53e48a873e39","DATA_LOSS","765e579f-6011-42a1-b15b-53e48a873e39","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","1","Cann't find route."
"1806","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_SENT","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","0",
"1807","23fd6087-1cdd-4304-a4fb-902c52eae4f5","DATA_REACH",,"","","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","0",
"1807","23fd6087-1cdd-4304-a4fb-902c52eae4f5","DATA_SENT","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"1807","9a769188-48b1-4641-a83a-f9fbd73d627f","DATA_SENT","9a769188-48b1-4641-a83a-f9fbd73d627f","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"1807","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_SENT","84a25183-c629-4fd0-8fdd-dfdb87265689","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"1807","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_SENT","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1807","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_LOSS","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","1","Cann't find route."
"1808","9a769188-48b1-4641-a83a-f9fbd73d627f","DATA_SENT","9a769188-48b1-4641-a83a-f9fbd73d627f","","","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","0",
"1808","9a769188-48b1-4641-a83a-f9fbd73d627f","DATA_LOSS","9a769188-48b1-4641-a83a-f9fbd73d627f","","","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","1","Cann't find route."
"1808","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_SENT","84a25183-c629-4fd0-8fdd-dfdb87265689","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"1809","765e579f-6011-42a1-b15b-53e48a873e39","DATA_REACH",,"","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"1810","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1815","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"1815","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"1810","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_SENT","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","0",
"1810","","messages.TCMessage","84a25183-c629-4fd0-8fdd-dfdb87265689","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1810","","messages.TCMessage","84a25183-c629-4fd0-8fdd-dfdb87265689","23fd6087-1cdd-4304-a4fb-902c52eae4f5","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"1810","","messages.TCMessage","84a25183-c629-4fd0-8fdd-dfdb87265689","23fd6087-1cdd-4304-a4fb-902c52eae4f5","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"1810","","messages.TCMessage","765e579f-6011-42a1-b15b-53e48a873e39","9a769188-48b1-4641-a83a-f9fbd73d627f","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
